dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR01_sl1000_mr0125_nv10_1,0.846,0.611,0.71,1,0.778,0.875,1,0.833,0.909,0.684,0.722,0.703,0.765,0.722,0.743,1,0.833,0.909
SEIR01_sl1000_mr0125_nv10_10,0.949,0.685,0.796,0.96,0.889,0.923,0.962,0.926,0.943,0.926,0.926,0.926,0.917,0.815,0.863,0.917,0.815,0.863
SEIR01_sl1000_mr0125_nv10_11,1,0.769,0.87,1,0.923,0.96,1,0.923,0.96,0.923,0.923,0.923,0.923,0.923,0.923,0.917,0.846,0.88
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.4,0.571,1,0.4,0.571,0.2,0.2,0.2,0.25,0.2,0.222,1,0.8,0.889
SEIR01_sl1000_mr0125_nv10_13,0.9,0.9,0.9,1,0.7,0.824,0.889,0.8,0.842,0.818,0.9,0.857,0.818,0.9,0.857,1,1,1
SEIR01_sl1000_mr0125_nv10_14,0.96,0.8,0.873,0.966,0.933,0.949,0.966,0.933,0.949,0.933,0.933,0.933,0.933,0.933,0.933,0.966,0.933,0.949
SEIR01_sl1000_mr0125_nv10_15,1,0.417,0.588,1,0.792,0.884,0.952,0.833,0.889,0.833,0.833,0.833,0.826,0.792,0.809,1,0.708,0.829
SEIR01_sl1000_mr0125_nv10_16,0.667,0.286,0.4,0.8,0.571,0.667,0.8,0.571,0.667,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr0125_nv10_17,0.636,0.583,0.609,0.778,0.583,0.667,0.667,0.667,0.667,0.769,0.833,0.8,0.769,0.833,0.8,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.921,0.778,0.843,0.907,0.867,0.886,0.886,0.867,0.876,0.851,0.889,0.87,0.87,0.889,0.879,0.951,0.867,0.907
SEIR01_sl1000_mr0125_nv10_19,0.952,0.667,0.784,1,0.767,0.868,1,0.867,0.929,0.833,0.833,0.833,0.893,0.833,0.862,0.964,0.9,0.931
SEIR01_sl1000_mr0125_nv10_2,0.941,0.615,0.744,1,0.731,0.844,0.955,0.808,0.875,0.923,0.923,0.923,0.923,0.923,0.923,1,1,1
SEIR01_sl1000_mr0125_nv10_20,0.913,0.84,0.875,0.952,0.8,0.87,0.875,0.84,0.857,0.846,0.88,0.863,0.957,0.88,0.917,0.958,0.92,0.939
SEIR01_sl1000_mr0125_nv10_3,0.846,0.579,0.688,1,0.895,0.944,1,0.974,0.987,0.842,0.842,0.842,0.889,0.842,0.865,0.971,0.895,0.932
SEIR01_sl1000_mr0125_nv10_4,0.938,0.625,0.75,0.857,0.75,0.8,0.818,0.75,0.783,0.75,0.75,0.75,0.857,0.75,0.8,0.864,0.792,0.826
SEIR01_sl1000_mr0125_nv10_5,0.974,0.809,0.884,1,0.872,0.932,0.956,0.915,0.935,0.857,0.894,0.875,0.891,0.872,0.882,1,0.915,0.956
SEIR01_sl1000_mr0125_nv10_6,0.966,0.583,0.727,0.913,0.875,0.894,0.913,0.875,0.894,0.875,0.875,0.875,0.925,0.771,0.841,0.949,0.771,0.851
SEIR01_sl1000_mr0125_nv10_7,0.968,0.769,0.857,1,0.872,0.932,1,0.872,0.932,0.897,0.897,0.897,0.946,0.897,0.921,1,0.872,0.932
SEIR01_sl1000_mr0125_nv10_8,0.667,0.333,0.444,0.8,0.667,0.727,0.8,0.667,0.727,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.968,0.638,0.769,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.977,0.894,0.933,0.976,0.872,0.921
SEIR01_sl1000_mr025_nv10_1,0.941,0.571,0.711,1,0.821,0.902,0.958,0.821,0.885,0.897,0.929,0.912,0.889,0.857,0.873,0.963,0.929,0.945
SEIR01_sl1000_mr025_nv10_10,0.7,0.778,0.737,0.875,0.778,0.824,0.7,0.778,0.737,0.778,0.778,0.778,0.778,0.778,0.778,0.8,0.889,0.842
SEIR01_sl1000_mr025_nv10_11,0.917,0.629,0.746,1,0.857,0.923,1,0.943,0.971,0.784,0.829,0.806,0.879,0.829,0.853,1,0.943,0.971
SEIR01_sl1000_mr025_nv10_12,1,0.625,0.769,0.833,0.625,0.714,0.833,0.625,0.714,0.75,0.75,0.75,0.714,0.625,0.667,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv10_13,0.667,0.2,0.308,1,0.75,0.857,1,0.75,0.857,0.762,0.8,0.78,0.842,0.8,0.821,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv10_14,0.917,0.647,0.759,0.966,0.824,0.889,0.969,0.912,0.939,0.857,0.882,0.87,0.853,0.853,0.853,0.938,0.882,0.909
SEIR01_sl1000_mr025_nv10_15,0.75,0.6,0.667,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,1,0.571,0.727,0.95,0.905,0.927,0.927,0.905,0.916,0.837,0.857,0.847,0.971,0.786,0.868,1,0.833,0.909
SEIR01_sl1000_mr025_nv10_17,0.897,0.578,0.703,0.875,0.778,0.824,0.878,0.8,0.837,0.644,0.644,0.644,0.763,0.644,0.699,0.921,0.778,0.843
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.875,0.778,0.824,0.875,0.778,0.824,0.889,0.889,0.889,0.875,0.778,0.824,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.923,0.61,0.735,0.945,0.881,0.912,0.93,0.898,0.914,0.836,0.864,0.85,0.855,0.797,0.825,0.94,0.797,0.862
SEIR01_sl1000_mr025_nv10_2,0.889,0.727,0.8,0.909,0.909,0.909,0.909,0.909,0.909,0.833,0.909,0.87,0.875,0.955,0.913,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_20,0.769,0.588,0.667,0.875,0.824,0.848,0.875,0.824,0.848,0.765,0.765,0.765,0.824,0.824,0.824,0.812,0.765,0.788
SEIR01_sl1000_mr025_nv10_3,0.917,0.673,0.776,0.933,0.857,0.894,0.894,0.857,0.875,0.82,0.837,0.828,0.83,0.796,0.812,0.955,0.857,0.903
SEIR01_sl1000_mr025_nv10_4,0.892,0.635,0.742,0.98,0.923,0.95,0.98,0.923,0.95,0.868,0.885,0.876,0.93,0.769,0.842,0.978,0.865,0.918
SEIR01_sl1000_mr025_nv10_5,0.943,0.75,0.835,0.925,0.841,0.881,0.86,0.841,0.851,0.844,0.864,0.854,0.9,0.818,0.857,0.946,0.795,0.864
SEIR01_sl1000_mr025_nv10_6,1,0.571,0.727,1,0.571,0.727,0.8,0.571,0.667,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr025_nv10_7,0.9,0.675,0.771,0.861,0.775,0.816,0.861,0.775,0.816,0.7,0.7,0.7,0.8,0.7,0.747,0.861,0.775,0.816
SEIR01_sl1000_mr025_nv10_8,0.947,0.667,0.783,0.833,0.741,0.784,0.8,0.741,0.769,0.815,0.815,0.815,0.88,0.815,0.846,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.935,0.617,0.744,0.932,0.872,0.901,0.932,0.872,0.901,0.809,0.809,0.809,0.86,0.787,0.822,0.953,0.872,0.911
SEIR01_sl1000_mr025_nv20_1,0.917,0.688,0.786,1,0.938,0.968,0.938,0.938,0.938,0.882,0.938,0.909,0.909,0.938,0.923,0.938,0.938,0.938
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,1,0.556,0.714,0.833,0.556,0.667,0.667,0.667,0.667,0.857,0.667,0.75,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv20_11,0.75,0.6,0.667,0.75,0.6,0.667,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.933,0.778,0.848,1,0.833,0.909,0.938,0.833,0.882,0.889,0.889,0.889,0.941,0.889,0.914,1,0.889,0.941
SEIR01_sl1000_mr025_nv20_13,0.896,0.741,0.811,0.941,0.828,0.881,0.925,0.845,0.883,0.862,0.862,0.862,0.942,0.845,0.891,0.961,0.845,0.899
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846,0.9,0.692,0.783,0.909,0.769,0.833,0.846,0.846,0.846,0.846,0.846,0.846,0.923,0.923,0.923
SEIR01_sl1000_mr025_nv20_15,0.882,0.652,0.75,1,0.957,0.978,1,0.957,0.978,0.913,0.913,0.913,0.955,0.913,0.933,0.955,0.913,0.933
SEIR01_sl1000_mr025_nv20_16,0.571,0.571,0.571,1,0.286,0.444,0.833,0.714,0.769,0.556,0.714,0.625,0.556,0.714,0.625,1,1,1
SEIR01_sl1000_mr025_nv20_17,0.905,0.76,0.826,0.955,0.84,0.894,0.955,0.84,0.894,0.84,0.84,0.84,0.833,0.8,0.816,0.96,0.96,0.96
SEIR01_sl1000_mr025_nv20_18,0.92,0.885,0.902,0.957,0.846,0.898,0.92,0.885,0.902,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.941,0.906,0.923,0.942,0.925,0.933,0.942,0.925,0.933,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.933,0.667,0.778,0.927,0.905,0.916,0.927,0.905,0.916,0.884,0.905,0.894,0.905,0.905,0.905,0.927,0.905,0.916
SEIR01_sl1000_mr025_nv20_20,0.818,0.581,0.679,0.931,0.871,0.9,0.875,0.903,0.889,0.812,0.839,0.825,0.897,0.839,0.867,0,0,0
SEIR01_sl1000_mr025_nv20_3,0.833,0.714,0.769,0.938,0.714,0.811,0.944,0.81,0.872,0.864,0.905,0.884,0.864,0.905,0.884,0.952,0.952,0.952
SEIR01_sl1000_mr025_nv20_4,0.857,0.75,0.8,0.8,0.5,0.615,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv20_5,0.931,0.818,0.871,1,0.879,0.935,1,0.879,0.935,0.848,0.848,0.848,0.848,0.848,0.848,0.935,0.879,0.906
SEIR01_sl1000_mr025_nv20_6,1,1,1,1,0.909,0.952,1,1,1,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,1,0.647,0.786,1,0.824,0.903,1,0.882,0.938,0.882,0.882,0.882,0.875,0.824,0.848,1,0.824,0.903
SEIR01_sl1000_mr025_nv20_8,0.75,0.6,0.667,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,0.917,0.957,1,0.917,0.957,1,0.917,0.957,0.917,0.917,0.917,1,0.917,0.957,1,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,0.923,0.585,0.716,0.919,0.829,0.872,0.919,0.829,0.872,0.756,0.756,0.756,0.824,0.683,0.747,0.943,0.805,0.868
SEIR01_sl1000_mr025_nv5_10,1,0.273,0.429,1,0.606,0.755,0.957,0.667,0.786,0.824,0.848,0.836,0.885,0.697,0.78,1,0.636,0.778
SEIR01_sl1000_mr025_nv5_11,0.818,0.474,0.6,1,0.579,0.733,0.917,0.579,0.71,0.75,0.789,0.769,0.8,0.632,0.706,1,0.632,0.774
SEIR01_sl1000_mr025_nv5_12,0.75,0.316,0.444,0.846,0.579,0.688,0.846,0.579,0.688,0.789,0.789,0.789,0.75,0.632,0.686,0.857,0.632,0.727
SEIR01_sl1000_mr025_nv5_13,1,0.75,0.857,1,0.667,0.8,0.8,0.667,0.727,0.917,0.917,0.917,0.917,0.917,0.917,0.909,0.833,0.87
SEIR01_sl1000_mr025_nv5_14,0.824,0.7,0.757,1,0.9,0.947,1,0.9,0.947,0.818,0.9,0.857,0.762,0.8,0.78,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_15,0.786,0.407,0.537,0.846,0.815,0.83,0.846,0.815,0.83,0.714,0.741,0.727,0.75,0.667,0.706,0.818,0.667,0.735
SEIR01_sl1000_mr025_nv5_16,0.909,0.556,0.69,1,0.722,0.839,1,0.722,0.839,0.944,0.944,0.944,0.944,0.944,0.944,1,1,1
SEIR01_sl1000_mr025_nv5_17,0.8,0.364,0.5,0.889,0.727,0.8,0.889,0.727,0.8,0.818,0.818,0.818,0.818,0.818,0.818,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.862,0.532,0.658,0.9,0.766,0.828,0.878,0.766,0.818,0.766,0.766,0.766,0.886,0.66,0.756,0.905,0.809,0.854
SEIR01_sl1000_mr025_nv5_19,0.976,0.69,0.808,0.909,0.862,0.885,0.911,0.879,0.895,0.931,0.931,0.931,0.946,0.914,0.93,0.98,0.862,0.917
SEIR01_sl1000_mr025_nv5_2,0.625,0.312,0.417,0.929,0.812,0.867,0.929,0.812,0.867,0.588,0.625,0.606,0.769,0.625,0.69,0.929,0.812,0.867
SEIR01_sl1000_mr025_nv5_20,0.846,0.458,0.595,1,0.625,0.769,1,0.625,0.769,0.625,0.625,0.625,0.682,0.625,0.652,0.944,0.708,0.81
SEIR01_sl1000_mr025_nv5_3,0.75,0.6,0.667,0.875,0.7,0.778,0.889,0.8,0.842,0.818,0.9,0.857,0.8,0.8,0.8,0.889,0.8,0.842
SEIR01_sl1000_mr025_nv5_4,0.897,0.52,0.658,0.8,0.72,0.758,0.796,0.78,0.788,0.76,0.76,0.76,0.833,0.7,0.761,0.9,0.72,0.8
SEIR01_sl1000_mr025_nv5_5,0.944,0.333,0.493,0.812,0.765,0.788,0.816,0.784,0.8,0.611,0.647,0.629,0.821,0.627,0.711,0.933,0.549,0.691
SEIR01_sl1000_mr025_nv5_6,0.667,0.5,0.571,0.714,0.625,0.667,0.714,0.625,0.667,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_7,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.947
SEIR01_sl1000_mr025_nv5_8,0.857,0.522,0.649,0.941,0.696,0.8,0.947,0.783,0.857,0.913,0.913,0.913,0.909,0.87,0.889,0.947,0.783,0.857
SEIR01_sl1000_mr025_nv5_9,1,0.333,0.5,0.833,0.556,0.667,0.833,0.556,0.667,0.889,0.889,0.889,0.889,0.889,0.889,0.857,0.667,0.75
SEIR01_sl1000_mr05_nv10_1,0.857,0.462,0.6,0.909,0.769,0.833,0.909,0.769,0.833,0.692,0.692,0.692,0.818,0.692,0.75,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.815,0.688,0.746,0.926,0.781,0.847,0.929,0.812,0.867,0.714,0.781,0.746,0.758,0.781,0.769,0.933,0.875,0.903
SEIR01_sl1000_mr05_nv10_12,0.932,0.707,0.804,0.917,0.759,0.83,0.922,0.81,0.862,0.847,0.862,0.855,0.94,0.81,0.87,0.915,0.741,0.819
SEIR01_sl1000_mr05_nv10_13,0.667,0.25,0.364,0.833,0.625,0.714,0.833,0.625,0.714,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.923,0.615,0.738,1,0.846,0.917,1,0.872,0.932,0.725,0.744,0.734,0.914,0.821,0.865,1,0.692,0.818
SEIR01_sl1000_mr05_nv10_15,0.917,0.688,0.786,0.923,0.75,0.828,0.923,0.75,0.828,0.875,0.875,0.875,0.867,0.812,0.839,0.938,0.938,0.938
SEIR01_sl1000_mr05_nv10_16,0.95,0.864,0.905,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.929,0.591,0.722,0.913,0.955,0.933,0.875,0.955,0.913,0.87,0.909,0.889,0.952,0.909,0.93,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.913,0.75,0.824,0.98,0.875,0.925,0.98,0.893,0.935,0.86,0.875,0.867,0.873,0.857,0.865,0.981,0.929,0.954
SEIR01_sl1000_mr05_nv10_19,1,0.429,0.6,1,0.571,0.727,1,0.571,0.727,0.5,0.571,0.533,0.667,0.571,0.615,1,0.571,0.727
SEIR01_sl1000_mr05_nv10_2,0.875,0.875,0.875,0.857,0.75,0.8,0.857,0.75,0.8,0.889,1,0.941,0.889,1,0.941,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_20,0.949,0.712,0.813,0.958,0.885,0.92,0.96,0.923,0.941,0.811,0.827,0.819,0.935,0.827,0.878,0.978,0.865,0.918
SEIR01_sl1000_mr05_nv10_3,0.882,0.6,0.714,0.81,0.68,0.739,0.81,0.68,0.739,0.84,0.84,0.84,0.909,0.8,0.851,0.895,0.68,0.773
SEIR01_sl1000_mr05_nv10_4,0.778,0.636,0.7,1,0.636,0.778,1,0.727,0.842,0.667,0.727,0.696,0.667,0.727,0.696,0.8,0.727,0.762
SEIR01_sl1000_mr05_nv10_5,0.875,0.778,0.824,0.941,0.889,0.914,0.941,0.889,0.914,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.846,0.55,0.667,0.973,0.9,0.935,0.973,0.9,0.935,0.85,0.85,0.85,0.889,0.8,0.842,0.946,0.875,0.909
SEIR01_sl1000_mr05_nv10_7,0.842,0.696,0.762,0.919,0.739,0.819,0.895,0.739,0.81,0.787,0.804,0.796,0.804,0.804,0.804,0.946,0.761,0.843
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.944,0.654,0.773,1,0.923,0.96,0.96,0.923,0.941,0.923,0.923,0.923,0.923,0.923,0.923,0.957,0.846,0.898
sl1000 AVG,0.88134,0.62844,0.72167,0.92754,0.77445,0.83804,0.90611,0.80001,0.84593,0.80736,0.8249,0.81577,0.84431,0.80213,0.8211,0.90588,0.81803,0.85678
SEIR01_sl250_mr025_nv10_1,0.649,0.533,0.585,1,0.578,0.732,0.912,0.689,0.785,0.561,0.711,0.627,0.635,0.733,0.68,0.917,0.733,0.815
SEIR01_sl250_mr025_nv10_10,0.688,0.647,0.667,1,0.471,0.64,0.846,0.647,0.733,0.737,0.824,0.778,0.737,0.824,0.778,0.846,0.647,0.733
SEIR01_sl250_mr025_nv10_11,0.667,0.5,0.571,0.857,0.375,0.522,0.8,0.75,0.774,0.65,0.812,0.722,0.765,0.812,0.788,0.846,0.688,0.759
SEIR01_sl250_mr025_nv10_12,0.778,0.651,0.709,0.939,0.721,0.816,0.833,0.814,0.824,0.792,0.884,0.835,0.825,0.767,0.795,1,0.837,0.911
SEIR01_sl250_mr025_nv10_13,0.5,0.333,0.4,0.5,0.167,0.25,0.5,0.333,0.4,0.571,0.667,0.615,0.5,0.5,0.5,0.6,0.5,0.545
SEIR01_sl250_mr025_nv10_14,0.59,0.5,0.541,0.926,0.543,0.685,0.711,0.587,0.643,0.451,0.5,0.474,0.561,0.5,0.529,0.8,0.609,0.691
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,1,0.286,0.444,1,0.857,0.923,0.7,1,0.824,0.6,0.857,0.706,0.857,0.857,0.857
SEIR01_sl250_mr025_nv10_16,0.452,0.413,0.432,0.957,0.478,0.638,0.868,0.717,0.786,0.516,0.717,0.6,0.483,0.63,0.547,0.941,0.696,0.8
SEIR01_sl250_mr025_nv10_17,0.3,0.375,0.333,1,0.125,0.222,0.625,0.625,0.625,0.286,0.5,0.364,0.333,0.5,0.4,0.75,0.75,0.75
SEIR01_sl250_mr025_nv10_18,0.786,0.688,0.733,1,0.531,0.694,0.926,0.781,0.847,0.694,0.781,0.735,0.75,0.656,0.7,1,0.844,0.915
SEIR01_sl250_mr025_nv10_19,0.875,0.583,0.7,1,0.583,0.737,0.889,0.667,0.762,0.714,0.833,0.769,0.714,0.833,0.769,0.9,0.75,0.818
SEIR01_sl250_mr025_nv10_2,0.667,0.714,0.69,1,0.357,0.526,0.667,0.429,0.522,0.529,0.643,0.581,0.643,0.643,0.643,0.846,0.786,0.815
SEIR01_sl250_mr025_nv10_20,0.857,0.667,0.75,1,0.444,0.615,0.933,0.778,0.848,0.684,0.722,0.703,0.722,0.722,0.722,0.875,0.778,0.824
SEIR01_sl250_mr025_nv10_3,0.654,0.63,0.642,1,0.778,0.875,0.852,0.852,0.852,0.667,0.815,0.733,0.667,0.815,0.733,0.885,0.852,0.868
SEIR01_sl250_mr025_nv10_4,0.818,0.643,0.72,1,0.643,0.783,0.917,0.786,0.846,0.812,0.929,0.867,0.812,0.929,0.867,1,0.857,0.923
SEIR01_sl250_mr025_nv10_5,0.667,0.585,0.623,0.962,0.61,0.746,0.806,0.707,0.753,0.562,0.659,0.607,0.622,0.683,0.651,0.846,0.805,0.825
SEIR01_sl250_mr025_nv10_6,0.526,0.455,0.488,0.818,0.409,0.545,0.56,0.636,0.596,0.5,0.636,0.56,0.577,0.682,0.625,0.789,0.682,0.732
SEIR01_sl250_mr025_nv10_7,0.733,0.786,0.759,0.857,0.429,0.571,0.692,0.643,0.667,0.706,0.857,0.774,0.706,0.857,0.774,0.923,0.857,0.889
SEIR01_sl250_mr025_nv10_8,0.676,0.735,0.704,1,0.5,0.667,0.846,0.647,0.733,0.605,0.765,0.675,0.619,0.765,0.684,1,0.735,0.847
SEIR01_sl250_mr025_nv10_9,0.784,0.656,0.714,1,0.852,0.92,0.932,0.902,0.917,0.681,0.803,0.737,0.758,0.77,0.764,1,0.885,0.939
sl250 AVG,0.66335,0.59755,0.62335,0.9408,0.494,0.6314,0.80575,0.69235,0.7418,0.6209,0.7529,0.679,0.65145,0.7239,0.68275,0.88105,0.7574,0.8128
SEIR01_sl500_mr025_nv10_1,0.625,0.5,0.556,1,0.5,0.667,1,0.5,0.667,0.455,0.5,0.476,0.455,0.5,0.476,0.857,0.6,0.706
SEIR01_sl500_mr025_nv10_10,0.667,0.429,0.522,1,0.714,0.833,1,0.714,0.833,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_11,0.786,0.647,0.71,0.917,0.647,0.759,0.867,0.765,0.812,0.737,0.824,0.778,0.737,0.824,0.778,0.833,0.882,0.857
SEIR01_sl500_mr025_nv10_12,0.927,0.745,0.826,0.936,0.863,0.898,0.9,0.882,0.891,0.923,0.941,0.932,0.935,0.843,0.887,0.939,0.902,0.92
SEIR01_sl500_mr025_nv10_13,0.833,0.5,0.625,1,0.7,0.824,1,0.9,0.947,0.636,0.7,0.667,0.7,0.7,0.7,1,0.8,0.889
SEIR01_sl500_mr025_nv10_14,1,0.833,0.909,1,0.5,0.667,0.75,0.5,0.6,0.714,0.833,0.769,0.714,0.833,0.769,0.8,0.667,0.727
SEIR01_sl500_mr025_nv10_15,0.911,0.707,0.796,1,0.828,0.906,0.981,0.879,0.927,0.787,0.828,0.807,0.852,0.793,0.821,0.98,0.828,0.897
SEIR01_sl500_mr025_nv10_16,0.9,0.6,0.72,0.909,0.667,0.769,0.846,0.733,0.786,0.75,0.8,0.774,0.75,0.8,0.774,0.857,0.8,0.828
SEIR01_sl500_mr025_nv10_17,0.667,0.333,0.444,0.667,0.333,0.444,0.667,0.333,0.444,0.286,0.333,0.308,0.333,0.333,0.333,0.5,0.333,0.4
SEIR01_sl500_mr025_nv10_18,0.75,0.5,0.6,0.75,0.5,0.6,0.8,0.667,0.727,0.5,0.5,0.5,0.5,0.5,0.5,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.75,0.375,0.5,0.714,0.625,0.667,0.5,0.625,0.556,0.556,0.625,0.588,0.75,0.75,0.75
SEIR01_sl500_mr025_nv10_2,0.8,0.5,0.615,1,0.375,0.545,0.667,0.5,0.571,0.5,0.5,0.5,0.571,0.5,0.533,0.857,0.75,0.8
SEIR01_sl500_mr025_nv10_20,0.824,0.438,0.571,0.833,0.781,0.806,0.833,0.781,0.806,0.719,0.719,0.719,0.815,0.688,0.746,0.923,0.75,0.828
SEIR01_sl500_mr025_nv10_3,0.9,0.857,0.878,0.941,0.762,0.842,0.818,0.857,0.837,0.826,0.905,0.864,0.826,0.905,0.864,0.895,0.81,0.85
SEIR01_sl500_mr025_nv10_4,1,0.714,0.833,0.8,0.571,0.667,0.833,0.714,0.769,0.75,0.857,0.8,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl500_mr025_nv10_5,1,0.6,0.75,1,0.4,0.571,1,0.8,0.889,0.571,0.8,0.667,0.8,0.8,0.8,1,0.4,0.571
SEIR01_sl500_mr025_nv10_6,0.927,0.717,0.809,0.978,0.849,0.909,0.961,0.925,0.942,0.845,0.925,0.883,0.885,0.868,0.876,0.979,0.868,0.92
SEIR01_sl500_mr025_nv10_7,0.793,0.676,0.73,0.964,0.794,0.871,0.935,0.853,0.892,0.784,0.853,0.817,0.794,0.794,0.794,0.906,0.853,0.879
SEIR01_sl500_mr025_nv10_8,0.812,0.812,0.812,1,0.5,0.667,0.692,0.562,0.621,0.737,0.875,0.8,0.737,0.875,0.8,0.889,1,0.941
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.857,0.667,0.75,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
sl500 AVG,0.825,0.6318,0.70755,0.9151,0.6163,0.72475,0.85695,0.7134,0.7726,0.6756,0.7405,0.70545,0.7083,0.71935,0.71225,0.84785,0.7433,0.78455
AVG,0.84215,0.624507143,0.705607143,0.927657143,0.711792857,0.792335714,0.88475,0.772257143,0.820578571,0.7619,0.802557143,0.780471429,0.797328571,0.779128571,0.785785714,0.894042857,0.798692857,0.840178571
