dataset,without_complex_tp,without_complex_fp,without_complex_fn,with_complex_tp,with_complex_fp,with_complex_fn
SEIR015_sl1000_mr0125_nv10_1,66,0,7,70,0,3
SEIR015_sl1000_mr0125_nv10_10,16,0,3,16,1,3
SEIR015_sl1000_mr0125_nv10_11,9,0,4,9,2,4
SEIR015_sl1000_mr0125_nv10_12,9,0,5,10,0,4
SEIR015_sl1000_mr0125_nv10_13,47,1,3,47,1,3
SEIR015_sl1000_mr0125_nv10_14,39,1,13,40,4,12
SEIR015_sl1000_mr0125_nv10_15,29,1,16,29,2,16
SEIR015_sl1000_mr0125_nv10_16,37,1,26,43,5,20
SEIR015_sl1000_mr0125_nv10_17,18,0,8,21,3,5
SEIR015_sl1000_mr0125_nv10_18,7,0,3,8,1,2
SEIR015_sl1000_mr0125_nv10_19,17,0,14,19,1,12
SEIR015_sl1000_mr0125_nv10_2,11,1,5,11,2,5
SEIR015_sl1000_mr0125_nv10_20,34,0,7,39,0,2
SEIR015_sl1000_mr0125_nv10_3,6,0,3,6,2,3
SEIR015_sl1000_mr0125_nv10_4,7,0,3,8,0,2
SEIR015_sl1000_mr0125_nv10_5,47,1,4,47,1,4
SEIR015_sl1000_mr0125_nv10_6,28,0,7,28,1,7
SEIR015_sl1000_mr0125_nv10_7,52,0,16,62,0,6
SEIR015_sl1000_mr0125_nv10_8,14,0,4,14,1,4
SEIR015_sl1000_mr0125_nv10_9,11,0,10,14,1,7
SEIR015_sl1000_mr025_nv10_1,7,0,3,7,1,3
SEIR015_sl1000_mr025_nv10_10,4,1,7,4,2,7
SEIR015_sl1000_mr025_nv10_11,46,0,10,48,1,8
SEIR015_sl1000_mr025_nv10_12,1,0,9,3,2,7
SEIR015_sl1000_mr025_nv10_13,1,0,9,2,3,8
SEIR015_sl1000_mr025_nv10_14,17,3,8,18,5,7
SEIR015_sl1000_mr025_nv10_15,37,0,21,43,5,15
SEIR015_sl1000_mr025_nv10_16,8,0,6,8,0,6
SEIR015_sl1000_mr025_nv10_17,26,1,12,27,2,11
SEIR015_sl1000_mr025_nv10_18,25,0,12,26,5,11
SEIR015_sl1000_mr025_nv10_19,14,0,5,18,0,1
SEIR015_sl1000_mr025_nv10_2,49,1,7,54,1,2
SEIR015_sl1000_mr025_nv10_20,4,0,4,5,1,3
SEIR015_sl1000_mr025_nv10_3,36,0,10,41,1,5
SEIR015_sl1000_mr025_nv10_4,35,0,9,36,2,8
SEIR015_sl1000_mr025_nv10_5,44,0,4,46,1,2
SEIR015_sl1000_mr025_nv10_6,42,2,4,42,3,4
SEIR015_sl1000_mr025_nv10_7,5,1,4,5,1,4
SEIR015_sl1000_mr025_nv10_8,14,0,6,14,4,6
SEIR015_sl1000_mr025_nv10_9,48,0,8,49,3,7
SEIR015_sl1000_mr025_nv20_1,9,0,6,11,0,4
SEIR015_sl1000_mr025_nv20_10,2,0,7,5,1,4
SEIR015_sl1000_mr025_nv20_11,9,0,4,9,2,4
SEIR015_sl1000_mr025_nv20_12,12,1,8,14,4,6
SEIR015_sl1000_mr025_nv20_13,5,1,4,6,2,3
SEIR015_sl1000_mr025_nv20_14,21,1,1,21,1,1
SEIR015_sl1000_mr025_nv20_15,9,0,15,17,3,7
SEIR015_sl1000_mr025_nv20_16,26,3,4,27,3,3
SEIR015_sl1000_mr025_nv20_17,49,0,7,50,3,6
SEIR015_sl1000_mr025_nv20_18,24,0,15,29,5,10
SEIR015_sl1000_mr025_nv20_19,6,0,5,8,2,3
SEIR015_sl1000_mr025_nv20_2,15,0,10,20,2,5
SEIR015_sl1000_mr025_nv20_20,11,2,8,12,3,7
SEIR015_sl1000_mr025_nv20_3,47,0,19,55,2,11
SEIR015_sl1000_mr025_nv20_4,27,0,6,28,2,5
SEIR015_sl1000_mr025_nv20_5,38,0,1,38,0,1
SEIR015_sl1000_mr025_nv20_6,26,1,12,26,6,12
SEIR015_sl1000_mr025_nv20_7,29,2,7,29,6,7
SEIR015_sl1000_mr025_nv20_8,49,0,18,55,1,12
SEIR015_sl1000_mr025_nv20_9,16,0,2,17,1,1
SEIR015_sl1000_mr025_nv5_1,6,0,8,6,2,8
SEIR015_sl1000_mr025_nv5_10,15,0,21,23,1,13
SEIR015_sl1000_mr025_nv5_11,34,1,13,37,4,10
SEIR015_sl1000_mr025_nv5_12,7,2,4,7,2,4
SEIR015_sl1000_mr025_nv5_13,22,0,9,23,2,8
SEIR015_sl1000_mr025_nv5_14,11,1,4,11,2,4
SEIR015_sl1000_mr025_nv5_15,48,8,17,49,11,16
SEIR015_sl1000_mr025_nv5_16,22,0,4,22,1,4
SEIR015_sl1000_mr025_nv5_17,31,1,10,32,1,9
SEIR015_sl1000_mr025_nv5_18,35,5,20,36,6,19
SEIR015_sl1000_mr025_nv5_19,2,0,9,4,1,7
SEIR015_sl1000_mr025_nv5_2,4,0,5,4,0,5
SEIR015_sl1000_mr025_nv5_20,27,0,14,28,3,13
SEIR015_sl1000_mr025_nv5_3,13,1,14,16,1,11
SEIR015_sl1000_mr025_nv5_4,35,0,15,37,1,13
SEIR015_sl1000_mr025_nv5_5,7,0,14,8,1,13
SEIR015_sl1000_mr025_nv5_6,37,0,25,38,2,24
SEIR015_sl1000_mr025_nv5_7,22,0,4,22,1,4
SEIR015_sl1000_mr025_nv5_8,16,0,7,16,2,7
SEIR015_sl1000_mr025_nv5_9,18,1,22,21,4,19
SEIR015_sl1000_mr05_nv10_1,12,0,5,12,1,5
SEIR015_sl1000_mr05_nv10_10,0,0,9,0,1,9
SEIR015_sl1000_mr05_nv10_11,3,0,5,3,1,5
SEIR015_sl1000_mr05_nv10_12,2,0,6,3,2,5
SEIR015_sl1000_mr05_nv10_13,52,1,9,53,1,8
SEIR015_sl1000_mr05_nv10_14,37,0,9,41,2,5
SEIR015_sl1000_mr05_nv10_15,6,0,5,8,0,3
SEIR015_sl1000_mr05_nv10_16,32,0,9,35,0,6
SEIR015_sl1000_mr05_nv10_17,52,0,17,56,4,13
SEIR015_sl1000_mr05_nv10_18,25,1,16,28,3,13
SEIR015_sl1000_mr05_nv10_19,26,0,6,30,1,2
SEIR015_sl1000_mr05_nv10_2,39,1,3,39,1,3
SEIR015_sl1000_mr05_nv10_20,23,0,18,24,2,17
SEIR015_sl1000_mr05_nv10_3,44,1,12,46,3,10
SEIR015_sl1000_mr05_nv10_4,20,0,12,25,2,7
SEIR015_sl1000_mr05_nv10_5,8,0,3,8,1,3
SEIR015_sl1000_mr05_nv10_6,25,0,5,25,2,5
SEIR015_sl1000_mr05_nv10_7,7,1,6,10,2,3
SEIR015_sl1000_mr05_nv10_8,31,0,5,32,1,4
SEIR015_sl1000_mr05_nv10_9,9,0,6,9,1,6
SEIR015_sl250_mr025_nv10_1,4,1,13,10,5,7
SEIR015_sl250_mr025_nv10_10,32,0,27,46,4,13
SEIR015_sl250_mr025_nv10_11,8,3,26,11,12,23
SEIR015_sl250_mr025_nv10_12,17,0,26,20,9,23
SEIR015_sl250_mr025_nv10_13,10,0,6,10,1,6
SEIR015_sl250_mr025_nv10_14,3,0,22,9,12,16
SEIR015_sl250_mr025_nv10_15,23,1,26,37,7,12
SEIR015_sl250_mr025_nv10_16,4,2,23,11,4,16
SEIR015_sl250_mr025_nv10_17,1,0,11,3,0,9
SEIR015_sl250_mr025_nv10_18,0,0,11,6,3,5
SEIR015_sl250_mr025_nv10_19,14,0,23,22,2,15
SEIR015_sl250_mr025_nv10_2,3,0,19,11,2,11
SEIR015_sl250_mr025_nv10_20,14,0,19,25,3,8
SEIR015_sl250_mr025_nv10_3,0,1,15,0,7,15
SEIR015_sl250_mr025_nv10_4,10,0,15,15,5,10
SEIR015_sl250_mr025_nv10_5,1,0,7,1,1,7
SEIR015_sl250_mr025_nv10_6,17,0,18,19,10,16
SEIR015_sl250_mr025_nv10_7,3,0,5,5,4,3
SEIR015_sl250_mr025_nv10_8,18,0,9,19,2,8
SEIR015_sl250_mr025_nv10_9,6,1,9,8,7,7
SEIR015_sl500_mr025_nv10_1,6,0,4,6,3,4
SEIR015_sl500_mr025_nv10_10,38,1,5,39,3,4
SEIR015_sl500_mr025_nv10_11,0,0,8,3,2,5
SEIR015_sl500_mr025_nv10_12,44,0,9,45,2,8
SEIR015_sl500_mr025_nv10_13,18,0,10,18,7,10
SEIR015_sl500_mr025_nv10_14,1,0,8,2,0,7
SEIR015_sl500_mr025_nv10_15,50,0,8,52,1,6
SEIR015_sl500_mr025_nv10_16,5,0,7,7,2,5
SEIR015_sl500_mr025_nv10_17,7,0,7,8,3,6
SEIR015_sl500_mr025_nv10_18,23,0,3,23,1,3
SEIR015_sl500_mr025_nv10_19,5,0,5,6,1,4
SEIR015_sl500_mr025_nv10_2,4,0,4,5,1,3
SEIR015_sl500_mr025_nv10_20,49,0,15,53,6,11
SEIR015_sl500_mr025_nv10_3,15,5,22,15,11,22
SEIR015_sl500_mr025_nv10_4,20,1,21,31,3,10
SEIR015_sl500_mr025_nv10_5,11,0,3,11,1,3
SEIR015_sl500_mr025_nv10_6,10,0,9,13,1,6
SEIR015_sl500_mr025_nv10_7,37,1,25,38,10,24
SEIR015_sl500_mr025_nv10_8,35,0,32,40,12,27
SEIR015_sl500_mr025_nv10_9,5,0,6,7,4,4
SEIR01_sl1000_mr0125_nv10_1,14,0,4,15,0,3
SEIR01_sl1000_mr0125_nv10_10,48,2,6,50,2,4
SEIR01_sl1000_mr0125_nv10_11,12,0,1,12,0,1
SEIR01_sl1000_mr0125_nv10_12,2,0,3,2,0,3
SEIR01_sl1000_mr0125_nv10_13,7,0,3,8,1,2
SEIR01_sl1000_mr0125_nv10_14,28,1,2,28,1,2
SEIR01_sl1000_mr0125_nv10_15,19,0,5,20,1,4
SEIR01_sl1000_mr0125_nv10_16,4,1,3,4,1,3
SEIR01_sl1000_mr0125_nv10_17,7,2,5,8,4,4
SEIR01_sl1000_mr0125_nv10_18,39,4,6,39,5,6
SEIR01_sl1000_mr0125_nv10_19,23,0,7,26,0,4
SEIR01_sl1000_mr0125_nv10_2,19,0,7,21,1,5
SEIR01_sl1000_mr0125_nv10_20,20,1,5,21,3,4
SEIR01_sl1000_mr0125_nv10_3,34,0,4,37,0,1
SEIR01_sl1000_mr0125_nv10_4,18,3,6,18,4,6
SEIR01_sl1000_mr0125_nv10_5,41,0,6,43,2,4
SEIR01_sl1000_mr0125_nv10_6,42,4,6,42,4,6
SEIR01_sl1000_mr0125_nv10_7,34,0,5,34,0,5
SEIR01_sl1000_mr0125_nv10_8,4,1,2,4,1,2
SEIR01_sl1000_mr0125_nv10_9,46,1,1,46,1,1
SEIR01_sl1000_mr025_nv10_1,23,0,5,23,1,5
SEIR01_sl1000_mr025_nv10_10,7,1,2,7,3,2
SEIR01_sl1000_mr025_nv10_11,30,0,5,33,0,2
SEIR01_sl1000_mr025_nv10_12,5,1,3,5,1,3
SEIR01_sl1000_mr025_nv10_13,15,0,5,15,0,5
SEIR01_sl1000_mr025_nv10_14,28,1,6,31,1,3
SEIR01_sl1000_mr025_nv10_15,7,1,3,7,1,3
SEIR01_sl1000_mr025_nv10_16,38,2,4,38,3,4
SEIR01_sl1000_mr025_nv10_17,35,5,10,36,5,9
SEIR01_sl1000_mr025_nv10_18,7,1,2,7,1,2
SEIR01_sl1000_mr025_nv10_19,52,3,7,53,4,6
SEIR01_sl1000_mr025_nv10_2,20,2,2,20,2,2
SEIR01_sl1000_mr025_nv10_20,14,2,3,14,2,3
SEIR01_sl1000_mr025_nv10_3,42,3,7,42,5,7
SEIR01_sl1000_mr025_nv10_4,48,1,4,48,1,4
SEIR01_sl1000_mr025_nv10_5,37,3,7,37,6,7
SEIR01_sl1000_mr025_nv10_6,4,0,3,4,1,3
SEIR01_sl1000_mr025_nv10_7,31,5,9,31,5,9
SEIR01_sl1000_mr025_nv10_8,20,4,7,20,5,7
SEIR01_sl1000_mr025_nv10_9,41,3,6,41,3,6
SEIR01_sl1000_mr025_nv20_1,30,0,2,30,2,2
SEIR01_sl1000_mr025_nv20_10,5,0,4,5,1,4
SEIR01_sl1000_mr025_nv20_11,3,1,2,3,2,2
SEIR01_sl1000_mr025_nv20_12,15,0,3,15,1,3
SEIR01_sl1000_mr025_nv20_13,48,3,10,49,4,9
SEIR01_sl1000_mr025_nv20_14,9,1,4,10,1,3
SEIR01_sl1000_mr025_nv20_15,22,0,1,22,0,1
SEIR01_sl1000_mr025_nv20_16,2,0,5,5,1,2
SEIR01_sl1000_mr025_nv20_17,21,1,4,21,1,4
SEIR01_sl1000_mr025_nv20_18,22,1,4,23,2,3
SEIR01_sl1000_mr025_nv20_19,49,3,4,49,3,4
SEIR01_sl1000_mr025_nv20_2,38,3,4,38,3,4
SEIR01_sl1000_mr025_nv20_20,27,2,4,28,4,3
SEIR01_sl1000_mr025_nv20_3,15,1,6,17,1,4
SEIR01_sl1000_mr025_nv20_4,4,1,4,6,1,2
SEIR01_sl1000_mr025_nv20_5,29,0,4,29,0,4
SEIR01_sl1000_mr025_nv20_6,10,0,1,11,0,0
SEIR01_sl1000_mr025_nv20_7,14,0,3,15,0,2
SEIR01_sl1000_mr025_nv20_8,3,2,2,3,2,2
SEIR01_sl1000_mr025_nv20_9,11,0,1,11,0,1
SEIR01_sl1000_mr025_nv5_1,34,3,7,34,3,7
SEIR01_sl1000_mr025_nv5_10,20,0,13,22,1,11
SEIR01_sl1000_mr025_nv5_11,11,0,8,11,1,8
SEIR01_sl1000_mr025_nv5_12,11,2,8,11,2,8
SEIR01_sl1000_mr025_nv5_13,8,0,4,8,2,4
SEIR01_sl1000_mr025_nv5_14,18,0,2,18,0,2
SEIR01_sl1000_mr025_nv5_15,22,4,5,22,4,5
SEIR01_sl1000_mr025_nv5_16,13,0,5,13,0,5
SEIR01_sl1000_mr025_nv5_17,8,1,3,8,1,3
SEIR01_sl1000_mr025_nv5_18,36,4,11,36,5,11
SEIR01_sl1000_mr025_nv5_19,50,5,8,51,5,7
SEIR01_sl1000_mr025_nv5_2,13,1,3,13,1,3
SEIR01_sl1000_mr025_nv5_20,15,0,9,15,0,9
SEIR01_sl1000_mr025_nv5_3,7,1,3,8,1,2
SEIR01_sl1000_mr025_nv5_4,36,9,14,39,10,11
SEIR01_sl1000_mr025_nv5_5,39,9,12,40,9,11
SEIR01_sl1000_mr025_nv5_6,5,2,3,5,2,3
SEIR01_sl1000_mr025_nv5_7,8,0,2,8,0,2
SEIR01_sl1000_mr025_nv5_8,16,1,7,18,1,5
SEIR01_sl1000_mr025_nv5_9,5,1,4,5,1,4
SEIR01_sl1000_mr05_nv10_1,10,1,3,10,1,3
SEIR01_sl1000_mr05_nv10_10,6,1,1,6,1,1
SEIR01_sl1000_mr05_nv10_11,25,2,7,26,2,6
SEIR01_sl1000_mr05_nv10_12,44,4,14,47,4,11
SEIR01_sl1000_mr05_nv10_13,5,1,3,5,1,3
SEIR01_sl1000_mr05_nv10_14,33,0,6,34,0,5
SEIR01_sl1000_mr05_nv10_15,12,1,4,12,1,4
SEIR01_sl1000_mr05_nv10_16,21,1,1,21,1,1
SEIR01_sl1000_mr05_nv10_17,21,2,1,21,3,1
SEIR01_sl1000_mr05_nv10_18,49,1,7,50,1,6
SEIR01_sl1000_mr05_nv10_19,4,0,3,4,0,3
SEIR01_sl1000_mr05_nv10_2,6,1,2,6,1,2
SEIR01_sl1000_mr05_nv10_20,46,2,6,48,2,4
SEIR01_sl1000_mr05_nv10_3,17,4,8,17,4,8
SEIR01_sl1000_mr05_nv10_4,7,0,4,8,0,3
SEIR01_sl1000_mr05_nv10_5,16,1,2,16,1,2
SEIR01_sl1000_mr05_nv10_6,36,1,4,36,1,4
SEIR01_sl1000_mr05_nv10_7,34,3,12,34,4,12
SEIR01_sl1000_mr05_nv10_8,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_9,24,0,2,24,1,2
SEIR01_sl250_mr025_nv10_1,26,0,19,31,3,14
SEIR01_sl250_mr025_nv10_10,8,0,9,11,2,6
SEIR01_sl250_mr025_nv10_11,6,1,10,12,3,4
SEIR01_sl250_mr025_nv10_12,31,2,12,35,7,8
SEIR01_sl250_mr025_nv10_13,1,1,5,2,2,4
SEIR01_sl250_mr025_nv10_14,25,2,21,27,11,19
SEIR01_sl250_mr025_nv10_15,2,0,5,6,0,1
SEIR01_sl250_mr025_nv10_16,22,1,24,33,5,13
SEIR01_sl250_mr025_nv10_17,1,0,7,5,3,3
SEIR01_sl250_mr025_nv10_18,17,0,15,25,2,7
SEIR01_sl250_mr025_nv10_19,7,0,5,8,1,4
SEIR01_sl250_mr025_nv10_2,5,0,9,6,3,8
SEIR01_sl250_mr025_nv10_20,8,0,10,14,1,4
SEIR01_sl250_mr025_nv10_3,21,0,6,23,4,4
SEIR01_sl250_mr025_nv10_4,9,0,5,11,1,3
SEIR01_sl250_mr025_nv10_5,25,1,16,29,7,12
SEIR01_sl250_mr025_nv10_6,9,2,13,14,11,8
SEIR01_sl250_mr025_nv10_7,6,1,8,9,4,5
SEIR01_sl250_mr025_nv10_8,17,0,17,22,4,12
SEIR01_sl250_mr025_nv10_9,52,0,9,55,4,6
SEIR01_sl500_mr025_nv10_1,5,0,5,5,0,5
SEIR01_sl500_mr025_nv10_10,10,0,4,10,0,4
SEIR01_sl500_mr025_nv10_11,11,1,6,13,2,4
SEIR01_sl500_mr025_nv10_12,44,3,7,45,5,6
SEIR01_sl500_mr025_nv10_13,14,0,6,18,0,2
SEIR01_sl500_mr025_nv10_14,3,0,3,3,1,3
SEIR01_sl500_mr025_nv10_15,48,0,10,51,1,7
SEIR01_sl500_mr025_nv10_16,10,1,5,11,2,4
SEIR01_sl500_mr025_nv10_17,2,1,4,2,1,4
