dataset,tnet_50_prec,tnet_50_rec,tnet_50_f1,tnet_80_prec,tnet_80_rec,tnet_80_f1,tnet_100_prec,tnet_100_rec,tnet_100_f1
SEIR015_sl1000_mr0125_nv10_1,0.915,0.89,0.903,0.921,0.795,0.853,0.914,0.726,0.809
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947,0.938,0.789,0.857,0.938,0.789,0.857
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.818,0.692,0.75,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,0.857,0.857,0.857,0.846,0.786,0.815,0.818,0.643,0.72
SEIR015_sl1000_mr0125_nv10_13,0.96,0.96,0.96,0.976,0.82,0.891,0.976,0.82,0.891
SEIR015_sl1000_mr0125_nv10_14,0.737,0.808,0.771,0.774,0.788,0.781,0.771,0.712,0.74
SEIR015_sl1000_mr0125_nv10_15,0.622,0.622,0.622,0.59,0.511,0.548,0.697,0.511,0.59
SEIR015_sl1000_mr0125_nv10_16,0.739,0.81,0.773,0.774,0.762,0.768,0.77,0.746,0.758
SEIR015_sl1000_mr0125_nv10_17,0.625,0.769,0.69,0.654,0.654,0.654,0.654,0.654,0.654
SEIR015_sl1000_mr0125_nv10_18,0.667,0.8,0.727,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.6,0.581,0.59,0.857,0.581,0.692,0.842,0.516,0.64
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75,0.833,0.625,0.714,0.833,0.625,0.714
SEIR015_sl1000_mr0125_nv10_20,0.814,0.854,0.833,0.939,0.756,0.838,0.939,0.756,0.838
SEIR015_sl1000_mr0125_nv10_3,0.8,0.889,0.842,0.8,0.889,0.842,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,1.0,0.8,0.889,1.0,0.8,0.889
SEIR015_sl1000_mr0125_nv10_5,0.75,0.588,0.659,0.778,0.412,0.538,0.778,0.412,0.538
SEIR015_sl1000_mr0125_nv10_6,0.889,0.914,0.901,0.893,0.714,0.794,0.88,0.629,0.733
SEIR015_sl1000_mr0125_nv10_7,0.712,0.765,0.738,0.821,0.676,0.742,0.854,0.603,0.707
SEIR015_sl1000_mr0125_nv10_8,0.6,0.667,0.632,0.75,0.5,0.6,0.75,0.5,0.6
SEIR015_sl1000_mr0125_nv10_9,0.391,0.429,0.409,0.5,0.429,0.462,0.529,0.429,0.474
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.78,0.821,0.8,0.884,0.679,0.768,0.881,0.661,0.755
SEIR015_sl1000_mr025_nv10_12,0.692,0.9,0.783,0.75,0.9,0.818,0.75,0.9,0.818
SEIR015_sl1000_mr025_nv10_13,0.333,0.4,0.364,0.5,0.4,0.444,0.5,0.4,0.444
SEIR015_sl1000_mr025_nv10_14,0.667,0.8,0.727,0.69,0.8,0.741,0.72,0.72,0.72
SEIR015_sl1000_mr025_nv10_15,0.569,0.638,0.602,0.54,0.466,0.5,0.532,0.431,0.476
SEIR015_sl1000_mr025_nv10_16,0.688,0.786,0.733,0.688,0.786,0.733,0.667,0.714,0.69
SEIR015_sl1000_mr025_nv10_17,0.821,0.842,0.831,0.8,0.737,0.767,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.65,0.703,0.675,0.714,0.676,0.694,0.758,0.676,0.714
SEIR015_sl1000_mr025_nv10_19,0.81,0.895,0.85,0.789,0.789,0.789,0.778,0.737,0.757
SEIR015_sl1000_mr025_nv10_2,0.842,0.857,0.85,0.872,0.732,0.796,0.854,0.625,0.722
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667,0.556,0.625,0.588,0.714,0.625,0.667
SEIR015_sl1000_mr025_nv10_3,0.894,0.913,0.903,0.927,0.826,0.874,0.927,0.826,0.874
SEIR015_sl1000_mr025_nv10_4,0.696,0.727,0.711,0.756,0.705,0.729,0.744,0.659,0.699
SEIR015_sl1000_mr025_nv10_5,0.854,0.854,0.854,0.875,0.729,0.795,0.875,0.729,0.795
SEIR015_sl1000_mr025_nv10_6,0.848,0.848,0.848,0.85,0.739,0.791,0.868,0.717,0.786
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.889,0.8,0.842,1.0,0.8,0.889,1.0,0.8,0.889
SEIR015_sl1000_mr025_nv10_9,0.917,0.982,0.948,0.958,0.821,0.885,0.958,0.821,0.885
SEIR015_sl1000_mr025_nv20_1,0.643,0.6,0.621,0.818,0.6,0.692,0.818,0.6,0.692
SEIR015_sl1000_mr025_nv20_10,0.7,0.778,0.737,0.625,0.556,0.588,0.571,0.444,0.5
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889,0.833,0.769,0.8,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.48,0.6,0.533,0.6,0.6,0.6,0.706,0.6,0.649
SEIR015_sl1000_mr025_nv20_13,0.538,0.778,0.636,0.538,0.778,0.636,0.538,0.778,0.636
SEIR015_sl1000_mr025_nv20_14,0.909,0.909,0.909,0.9,0.818,0.857,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv20_15,0.545,0.75,0.632,0.72,0.75,0.735,0.72,0.75,0.735
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885,0.862,0.833,0.847,0.862,0.833,0.847
SEIR015_sl1000_mr025_nv20_17,0.831,0.875,0.852,0.855,0.839,0.847,0.846,0.786,0.815
SEIR015_sl1000_mr025_nv20_18,0.609,0.718,0.659,0.643,0.692,0.667,0.643,0.692,0.667
SEIR015_sl1000_mr025_nv20_19,0.462,0.545,0.5,0.6,0.545,0.571,0.6,0.545,0.571
SEIR015_sl1000_mr025_nv20_2,0.846,0.88,0.863,0.846,0.88,0.863,0.917,0.88,0.898
SEIR015_sl1000_mr025_nv20_20,0.684,0.684,0.684,0.706,0.632,0.667,0.706,0.632,0.667
SEIR015_sl1000_mr025_nv20_3,0.629,0.667,0.647,0.667,0.606,0.635,0.672,0.591,0.629
SEIR015_sl1000_mr025_nv20_4,0.853,0.879,0.866,0.815,0.667,0.733,0.808,0.636,0.712
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949,0.946,0.897,0.921,0.943,0.846,0.892
SEIR015_sl1000_mr025_nv20_6,0.717,0.868,0.786,0.732,0.789,0.759,0.718,0.737,0.727
SEIR015_sl1000_mr025_nv20_7,0.944,0.944,0.944,0.938,0.833,0.882,1.0,0.778,0.875
SEIR015_sl1000_mr025_nv20_8,0.634,0.776,0.698,0.778,0.731,0.754,0.783,0.701,0.74
SEIR015_sl1000_mr025_nv20_9,0.556,0.556,0.556,0.643,0.5,0.563,0.875,0.389,0.538
SEIR015_sl1000_mr025_nv5_1,0.818,0.643,0.72,0.875,0.5,0.636,0.875,0.5,0.636
SEIR015_sl1000_mr025_nv5_10,0.737,0.778,0.757,0.774,0.667,0.716,0.774,0.667,0.716
SEIR015_sl1000_mr025_nv5_11,0.708,0.723,0.716,0.711,0.574,0.635,0.676,0.489,0.568
SEIR015_sl1000_mr025_nv5_12,0.273,0.273,0.273,0.429,0.273,0.333,0.429,0.273,0.333
SEIR015_sl1000_mr025_nv5_13,0.931,0.871,0.9,1.0,0.742,0.852,1.0,0.71,0.83
SEIR015_sl1000_mr025_nv5_14,0.611,0.733,0.667,0.692,0.6,0.643,0.692,0.6,0.643
SEIR015_sl1000_mr025_nv5_15,0.706,0.738,0.722,0.719,0.631,0.672,0.78,0.6,0.678
SEIR015_sl1000_mr025_nv5_16,0.833,0.769,0.8,1.0,0.731,0.844,1.0,0.731,0.844
SEIR015_sl1000_mr025_nv5_17,0.857,0.878,0.867,0.838,0.756,0.795,0.879,0.707,0.784
SEIR015_sl1000_mr025_nv5_18,0.723,0.618,0.667,0.872,0.618,0.723,0.865,0.582,0.696
SEIR015_sl1000_mr025_nv5_19,0.389,0.636,0.483,0.5,0.545,0.522,0.5,0.545,0.522
SEIR015_sl1000_mr025_nv5_2,0.75,0.667,0.706,1.0,0.667,0.8,1.0,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,0.581,0.61,0.595,0.697,0.561,0.622,0.71,0.537,0.611
SEIR015_sl1000_mr025_nv5_3,0.682,0.556,0.612,0.875,0.519,0.651,0.875,0.519,0.651
SEIR015_sl1000_mr025_nv5_4,0.625,0.6,0.612,0.698,0.6,0.645,0.718,0.56,0.629
SEIR015_sl1000_mr025_nv5_5,0.667,0.571,0.615,0.688,0.524,0.595,0.733,0.524,0.611
SEIR015_sl1000_mr025_nv5_6,0.621,0.581,0.6,0.688,0.532,0.6,0.727,0.516,0.604
SEIR015_sl1000_mr025_nv5_7,0.769,0.769,0.769,0.818,0.692,0.75,0.818,0.692,0.75
SEIR015_sl1000_mr025_nv5_8,0.76,0.826,0.792,0.789,0.652,0.714,0.833,0.652,0.732
SEIR015_sl1000_mr025_nv5_9,0.585,0.6,0.593,0.7,0.525,0.6,0.7,0.525,0.6
SEIR015_sl1000_mr05_nv10_1,0.75,0.882,0.811,0.667,0.588,0.625,0.643,0.529,0.581
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353,0.333,0.375,0.353,0.375,0.375,0.375
SEIR015_sl1000_mr05_nv10_12,0.727,1.0,0.842,0.727,1.0,0.842,0.727,1.0,0.842
SEIR015_sl1000_mr05_nv10_13,0.902,0.902,0.902,0.942,0.803,0.867,0.941,0.787,0.857
SEIR015_sl1000_mr05_nv10_14,0.708,0.739,0.723,0.784,0.63,0.699,0.8,0.609,0.691
SEIR015_sl1000_mr05_nv10_15,0.583,0.636,0.609,0.7,0.636,0.667,0.625,0.455,0.526
SEIR015_sl1000_mr05_nv10_16,0.826,0.927,0.874,0.857,0.878,0.867,0.872,0.829,0.85
SEIR015_sl1000_mr05_nv10_17,0.731,0.826,0.776,0.8,0.754,0.776,0.797,0.681,0.734
SEIR015_sl1000_mr05_nv10_18,0.783,0.878,0.828,0.786,0.805,0.795,0.775,0.756,0.765
SEIR015_sl1000_mr05_nv10_19,0.784,0.906,0.841,0.794,0.844,0.818,0.857,0.75,0.8
SEIR015_sl1000_mr05_nv10_2,0.923,0.857,0.889,0.909,0.714,0.8,0.903,0.667,0.767
SEIR015_sl1000_mr05_nv10_20,0.38,0.463,0.418,0.316,0.293,0.304,0.333,0.268,0.297
SEIR015_sl1000_mr05_nv10_3,0.842,0.857,0.85,0.882,0.804,0.841,0.9,0.804,0.849
SEIR015_sl1000_mr05_nv10_4,0.6,0.656,0.627,0.618,0.656,0.636,0.613,0.594,0.603
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.815,0.733,0.772,0.818,0.6,0.692,0.818,0.6,0.692
SEIR015_sl1000_mr05_nv10_7,0.524,0.846,0.647,0.562,0.692,0.621,0.562,0.692,0.621
SEIR015_sl1000_mr05_nv10_8,0.7,0.778,0.737,0.743,0.722,0.732,0.812,0.722,0.765
SEIR015_sl1000_mr05_nv10_9,0.857,0.8,0.828,0.923,0.8,0.857,0.917,0.733,0.815
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651,0.538,0.824,0.651,0.542,0.765,0.634
SEIR015_sl250_mr025_nv10_10,0.405,0.542,0.464,0.435,0.458,0.446,0.474,0.458,0.466
SEIR015_sl250_mr025_nv10_11,0.476,0.588,0.526,0.486,0.529,0.507,0.5,0.5,0.5
SEIR015_sl250_mr025_nv10_12,0.403,0.674,0.504,0.46,0.674,0.547,0.475,0.674,0.558
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667,0.688,0.688,0.688,0.688,0.688,0.688
SEIR015_sl250_mr025_nv10_14,0.341,0.6,0.435,0.351,0.52,0.419,0.333,0.48,0.393
SEIR015_sl250_mr025_nv10_15,0.755,0.816,0.784,0.76,0.776,0.768,0.76,0.776,0.768
SEIR015_sl250_mr025_nv10_16,0.148,0.296,0.198,0.167,0.296,0.213,0.182,0.296,0.225
SEIR015_sl250_mr025_nv10_17,0.538,0.583,0.56,0.455,0.417,0.435,0.455,0.417,0.435
SEIR015_sl250_mr025_nv10_18,0.471,0.727,0.571,0.471,0.727,0.571,0.471,0.727,0.571
SEIR015_sl250_mr025_nv10_19,0.568,0.676,0.617,0.6,0.486,0.537,0.586,0.459,0.515
SEIR015_sl250_mr025_nv10_2,0.25,0.364,0.296,0.167,0.182,0.174,0.167,0.182,0.174
SEIR015_sl250_mr025_nv10_20,0.634,0.788,0.703,0.684,0.788,0.732,0.684,0.788,0.732
SEIR015_sl250_mr025_nv10_3,0.571,0.8,0.667,0.571,0.8,0.667,0.571,0.8,0.667
SEIR015_sl250_mr025_nv10_4,0.692,0.72,0.706,0.692,0.72,0.706,0.692,0.72,0.706
SEIR015_sl250_mr025_nv10_5,0.556,0.625,0.588,0.556,0.625,0.588,0.556,0.625,0.588
SEIR015_sl250_mr025_nv10_6,0.684,0.743,0.712,0.684,0.743,0.712,0.676,0.714,0.694
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.793,0.852,0.821,0.76,0.704,0.731,0.76,0.704,0.731
SEIR015_sl250_mr025_nv10_9,0.5,0.733,0.595,0.611,0.733,0.667,0.733,0.733,0.733
SEIR015_sl500_mr025_nv10_1,0.667,0.8,0.727,0.667,0.8,0.727,0.6,0.6,0.6
SEIR015_sl500_mr025_nv10_10,0.844,0.884,0.864,0.881,0.86,0.871,0.897,0.814,0.854
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421,0.4,0.5,0.444,0.4,0.5,0.444
SEIR015_sl500_mr025_nv10_12,0.655,0.717,0.685,0.708,0.642,0.673,0.75,0.566,0.645
SEIR015_sl500_mr025_nv10_13,0.444,0.571,0.5,0.485,0.571,0.525,0.552,0.571,0.561
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,0.8,0.889,0.842,1.0,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.831,0.845,0.838,0.836,0.793,0.814,0.849,0.776,0.811
SEIR015_sl500_mr025_nv10_16,0.667,0.833,0.741,0.714,0.833,0.769,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727,0.667,0.857,0.75,0.667,0.857,0.75
SEIR015_sl500_mr025_nv10_18,0.75,0.692,0.72,0.706,0.462,0.558,0.643,0.346,0.45
SEIR015_sl500_mr025_nv10_19,0.727,0.8,0.762,0.727,0.8,0.762,0.875,0.7,0.778
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.696,0.75,0.722,0.796,0.672,0.729,0.796,0.672,0.729
SEIR015_sl500_mr025_nv10_3,0.75,0.811,0.779,0.73,0.73,0.73,0.758,0.676,0.714
SEIR015_sl500_mr025_nv10_4,0.408,0.488,0.444,0.415,0.415,0.415,0.415,0.415,0.415
SEIR015_sl500_mr025_nv10_5,0.933,1.0,0.966,0.933,1.0,0.966,0.933,1.0,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.5,0.516,0.508,0.69,0.468,0.558,0.744,0.468,0.574
SEIR015_sl500_mr025_nv10_8,0.7,0.836,0.762,0.739,0.761,0.75,0.726,0.672,0.698
SEIR015_sl500_mr025_nv10_9,0.538,0.636,0.583,0.538,0.636,0.583,0.636,0.636,0.636
SEIR01_sl1000_mr0125_nv10_1,0.722,0.722,0.722,0.765,0.722,0.743,0.765,0.722,0.743
SEIR01_sl1000_mr0125_nv10_10,0.926,0.926,0.926,0.917,0.815,0.863,0.917,0.815,0.863
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.25,0.2,0.222,0.25,0.2,0.222
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
SEIR01_sl1000_mr0125_nv10_15,0.792,0.792,0.792,0.826,0.792,0.809,0.857,0.75,0.8
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.769,0.833,0.8,0.769,0.833,0.8,0.769,0.833,0.8
SEIR01_sl1000_mr0125_nv10_18,0.854,0.911,0.882,0.87,0.889,0.879,0.905,0.844,0.874
SEIR01_sl1000_mr0125_nv10_19,0.862,0.833,0.847,0.893,0.833,0.862,0.885,0.767,0.821
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.885,0.92,0.902,0.957,0.88,0.917,0.957,0.88,0.917
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895,0.889,0.842,0.865,0.889,0.842,0.865
SEIR01_sl1000_mr0125_nv10_4,0.818,0.75,0.783,0.857,0.75,0.8,0.895,0.708,0.791
SEIR01_sl1000_mr0125_nv10_5,0.854,0.872,0.863,0.891,0.872,0.882,0.891,0.872,0.882
SEIR01_sl1000_mr0125_nv10_6,0.83,0.812,0.821,0.925,0.771,0.841,0.923,0.75,0.828
SEIR01_sl1000_mr0125_nv10_7,0.921,0.897,0.909,0.946,0.897,0.921,0.946,0.897,0.921
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.875,0.894,0.884,0.977,0.894,0.933,0.977,0.894,0.933
SEIR01_sl1000_mr025_nv10_1,0.897,0.929,0.912,0.889,0.857,0.873,0.889,0.857,0.873
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.829,0.829,0.829,0.879,0.829,0.853,0.879,0.829,0.853
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75,0.714,0.625,0.667,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv10_13,0.857,0.9,0.878,0.842,0.8,0.821,0.812,0.65,0.722
SEIR01_sl1000_mr025_nv10_14,0.857,0.882,0.87,0.853,0.853,0.853,0.853,0.853,0.853
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.949,0.881,0.914,0.971,0.786,0.868,0.971,0.786,0.868
SEIR01_sl1000_mr025_nv10_17,0.711,0.711,0.711,0.763,0.644,0.699,0.778,0.622,0.691
SEIR01_sl1000_mr025_nv10_18,0.889,0.889,0.889,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_19,0.86,0.831,0.845,0.855,0.797,0.825,0.88,0.746,0.807
SEIR01_sl1000_mr025_nv10_2,0.875,0.955,0.913,0.875,0.955,0.913,0.875,0.955,0.913
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824,0.812,0.765,0.788
SEIR01_sl1000_mr025_nv10_3,0.796,0.796,0.796,0.83,0.796,0.812,0.886,0.796,0.839
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895,0.93,0.769,0.842,0.93,0.769,0.842
SEIR01_sl1000_mr025_nv10_5,0.8,0.818,0.809,0.9,0.818,0.857,0.9,0.818,0.857
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr025_nv10_7,0.789,0.75,0.769,0.8,0.7,0.747,0.8,0.7,0.747
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815,0.88,0.815,0.846,0.88,0.815,0.846
