dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR01_sl250_mr15_nv10_7,0.8,0.488,0.606,0.824,0.341,0.483,0.617,0.707,0.659,0.706,0.585,0.64,0.875,0.512,0.646
SEIR015_sl1000_mr05_nv10_9,0.875,0.467,0.609,1.0,0.6,0.75,0.611,0.733,0.667,0.923,0.8,0.857,1.0,0.533,0.696
SIR003_sl250_mr05_nv10_15,1.0,0.5,0.667,1.0,0.25,0.4,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_7,1.0,0.647,0.786,1.0,0.824,0.903,0.882,0.882,0.882,0.875,0.824,0.848,1.0,0.824,0.903
SEIR015_sl1000_mr025_nv5_4,0.714,0.3,0.423,1.0,0.7,0.824,0.642,0.68,0.66,0.698,0.6,0.645,1.0,0.58,0.734
SIR003_sl250_mr05_nv10_2,0.625,0.714,0.667,1.0,0.857,0.923,0.714,0.714,0.714,0.75,0.643,0.692,1.0,0.929,0.963
SEIR015_sl1000_mr0125_nv10_8,0.778,0.389,0.519,1.0,0.778,0.875,0.55,0.611,0.579,0.75,0.5,0.6,1.0,0.667,0.8
SIR003_sl1000_mr05_nv10_16,0.938,0.6,0.732,0.783,0.72,0.75,0.808,0.84,0.824,0.792,0.76,0.776,0.85,0.68,0.756
SEIR01_sl1000_mr025_nv10_12,1.0,0.625,0.769,0.833,0.625,0.714,0.75,0.75,0.75,0.714,0.625,0.667,0.714,0.625,0.667
SIR003_sl250_mr05_nv10_9,0.6,0.333,0.429,0.5,0.111,0.182,0.364,0.444,0.4,0.429,0.333,0.375,0.6,0.333,0.429
SIR01_sl1000_mr3_nv10_1,0.941,0.533,0.681,0.75,0.7,0.724,0.839,0.867,0.852,0.84,0.7,0.764,0.8,0.667,0.727
SIR003_sl1000_mr025_nv10_17,0.85,0.739,0.791,0.895,0.739,0.81,0.75,0.783,0.766,0.818,0.783,0.8,0.947,0.783,0.857
SEIR015_sl250_mr025_nv10_11,0.56,0.412,0.475,0.727,0.235,0.356,0.455,0.588,0.513,0.486,0.529,0.507,0.875,0.412,0.56
SIR003_sl1000_mr025_nv10_13,0.75,0.273,0.4,0.667,0.364,0.471,0.545,0.545,0.545,0.667,0.364,0.471,0.667,0.364,0.471
SEIR01_sl1000_mr025_nv20_18,0.92,0.885,0.902,0.957,0.846,0.898,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885
SEIR015_sl500_mr025_nv10_6,0.789,0.789,0.789,1.0,0.526,0.69,0.75,0.789,0.769,0.75,0.789,0.769,1.0,0.895,0.944
SEIR015_sl1000_mr0125_nv10_2,0.9,0.562,0.692,0.917,0.688,0.786,0.588,0.625,0.606,0.833,0.625,0.714,0.923,0.75,0.828
SIR003_sl1000_mr05_nv20_9,0.862,0.625,0.725,0.811,0.75,0.779,0.725,0.725,0.725,0.763,0.725,0.744,0.829,0.725,0.773
SIR01_sl250_mr15_nv10_15,0.667,0.25,0.364,1.0,0.25,0.4,0.4,0.5,0.444,0.667,0.25,0.364,1.0,0.5,0.667
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846,0.9,0.692,0.783,0.846,0.846,0.846,0.846,0.846,0.846,0.923,0.923,0.923
SIR01_sl1000_mr15_nv20_9,0.941,0.615,0.744,0.864,0.731,0.792,0.667,0.692,0.679,0.895,0.654,0.756,0.842,0.615,0.711
SEIR01_sl1000_mr025_nv20_5,0.931,0.818,0.871,1.0,0.879,0.935,0.848,0.848,0.848,0.848,0.848,0.848,0.935,0.879,0.906
SEIR01_sl1000_mr0125_nv10_5,0.974,0.809,0.884,1.0,0.872,0.932,0.857,0.894,0.875,0.891,0.872,0.882,1.0,0.915,0.956
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,1.0,0.692,0.818,0.594,0.731,0.655,0.654,0.654,0.654,0.957,0.846,0.898
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.875,0.778,0.824,0.889,0.889,0.889,0.875,0.778,0.824,0.778,0.778,0.778
SIR003_sl1000_mr1_nv10_7,1.0,0.625,0.769,0.75,0.75,0.75,0.625,0.625,0.625,0.833,0.625,0.714,1.0,0.75,0.857
SEIR01_sl1000_mr0125_nv10_11,1.0,0.769,0.87,1.0,0.923,0.96,0.923,0.923,0.923,0.923,0.923,0.923,0.917,0.846,0.88
SEIR015_sl1000_mr025_nv20_10,0.333,0.333,0.333,1.0,0.222,0.364,0.7,0.778,0.737,0.625,0.556,0.588,1.0,0.778,0.875
SEIR01_sl1000_mr05_nv10_1,0.857,0.462,0.6,0.909,0.769,0.833,0.692,0.692,0.692,0.818,0.692,0.75,0.909,0.769,0.833
SIR01_sl1000_mr15_nv20_4,0.973,0.522,0.679,0.82,0.725,0.769,0.754,0.754,0.754,0.862,0.725,0.787,0.922,0.681,0.783
SIR01_sl1000_mr15_nv5_2,0.867,0.371,0.52,0.786,0.629,0.698,0.657,0.657,0.657,0.741,0.571,0.645,0.95,0.543,0.691
SEIR01_sl1000_mr025_nv20_4,0.857,0.75,0.8,0.8,0.5,0.615,0.75,0.75,0.75,0.75,0.75,0.75,0.714,0.625,0.667
SEIR01_sl1000_mr05_nv10_9,0.944,0.654,0.773,1.0,0.923,0.96,0.923,0.923,0.923,0.923,0.923,0.923,0.957,0.846,0.898
SIR01_sl1000_mr15_nv20_6,1.0,0.625,0.769,1.0,0.75,0.857,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_16,0.909,0.556,0.69,1.0,0.722,0.839,0.944,0.944,0.944,0.944,0.944,0.944,1.0,1.0,1.0
SIR003_sl1000_mr05_nv10_6,0.909,0.476,0.625,0.846,0.524,0.647,0.762,0.762,0.762,0.684,0.619,0.65,0.778,0.667,0.718
SIR01_sl1000_mr15_nv20_17,1.0,0.571,0.727,0.9,0.643,0.75,0.714,0.714,0.714,0.714,0.714,0.714,0.9,0.643,0.75
SIR003_sl1000_mr05_nv10_15,1.0,0.615,0.762,0.9,0.692,0.783,0.846,0.846,0.846,0.909,0.769,0.833,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl1000_mr05_nv10_1,0.818,0.529,0.643,1.0,0.647,0.786,0.588,0.588,0.588,0.625,0.588,0.606,1.0,0.706,0.828
SEIR015_sl1000_mr025_nv20_18,0.606,0.513,0.556,1.0,0.615,0.762,0.58,0.744,0.652,0.643,0.692,0.667,1.0,0.821,0.901
SEIR01_sl1000_mr05_nv10_5,0.875,0.778,0.824,0.941,0.889,0.914,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv5_17,0.938,0.366,0.526,0.969,0.756,0.849,0.81,0.829,0.819,0.838,0.756,0.795,0.972,0.854,0.909
SEIR01_sl250_mr025_nv10_14,0.59,0.5,0.541,0.926,0.543,0.685,0.451,0.5,0.474,0.561,0.5,0.529,0.8,0.609,0.691
SIR003_sl500_mr05_nv10_4,0.933,0.538,0.683,0.882,0.577,0.698,0.667,0.692,0.679,0.789,0.577,0.667,0.882,0.577,0.698
SIR003_sl1000_mr025_nv10_9,0.933,0.5,0.651,0.714,0.536,0.612,0.679,0.679,0.679,0.773,0.607,0.68,0.842,0.571,0.681
SIR01_sl500_mr15_nv10_1,1.0,0.4,0.571,1.0,0.4,0.571,0.4,0.4,0.4,1.0,0.4,0.571,1.0,0.6,0.75
SEIR015_sl500_mr025_nv10_15,0.909,0.517,0.659,1.0,0.862,0.926,0.763,0.776,0.769,0.836,0.793,0.814,1.0,0.724,0.84
SIR003_sl1000_mr05_nv10_8,1.0,0.5,0.667,0.837,0.783,0.809,0.717,0.717,0.717,0.912,0.674,0.775,0.854,0.761,0.805
SIR003_sl1000_mr1_nv10_15,0.667,0.364,0.471,0.778,0.636,0.7,0.636,0.636,0.636,0.636,0.636,0.636,0.818,0.818,0.818
SEIR01_sl1000_mr025_nv10_5,0.943,0.75,0.835,0.925,0.841,0.881,0.844,0.864,0.854,0.9,0.818,0.857,0.946,0.795,0.864
SIR003_sl1000_mr05_nv20_11,1.0,0.4,0.571,1.0,0.4,0.571,0.4,0.4,0.4,1.0,0.4,0.571,1.0,0.4,0.571
SEIR01_sl1000_mr025_nv5_11,0.818,0.474,0.6,1.0,0.579,0.733,0.75,0.789,0.769,0.8,0.632,0.706,1.0,0.632,0.774
SIR01_sl250_mr15_nv10_18,0.5,0.4,0.444,0.7,0.35,0.467,0.5,0.65,0.565,0.545,0.6,0.571,0.75,0.45,0.563
SEIR01_sl1000_mr05_nv10_3,0.882,0.6,0.714,0.81,0.68,0.739,0.84,0.84,0.84,0.909,0.8,0.851,0.895,0.68,0.773
SIR01_sl1000_mr3_nv10_12,0.826,0.559,0.667,0.885,0.676,0.767,0.629,0.647,0.638,0.786,0.647,0.71,0.893,0.735,0.806
SIR01_sl1000_mr075_nv10_12,0.95,0.633,0.76,1.0,0.6,0.75,0.833,0.833,0.833,0.926,0.833,0.877,0.962,0.833,0.893
SEIR01_sl500_mr025_nv10_11,0.786,0.647,0.71,0.917,0.647,0.759,0.737,0.824,0.778,0.737,0.824,0.778,0.833,0.882,0.857
SIR003_sl250_mr05_nv10_18,0.765,0.481,0.591,0.875,0.259,0.4,0.63,0.63,0.63,0.739,0.63,0.68,0.765,0.481,0.591
SIR003_sl1000_mr05_nv10_12,0.974,0.673,0.796,0.824,0.764,0.792,0.782,0.782,0.782,0.857,0.764,0.808,0.93,0.727,0.816
SIR003_sl1000_mr05_nv5_15,1.0,0.435,0.607,0.83,0.629,0.716,0.774,0.774,0.774,0.833,0.726,0.776,0.83,0.629,0.716
SIR003_sl1000_mr025_nv10_16,0.875,0.412,0.56,0.769,0.588,0.667,0.647,0.647,0.647,0.786,0.647,0.71,0.909,0.588,0.714
SEIR01_sl1000_mr0125_nv10_20,0.913,0.84,0.875,0.952,0.8,0.87,0.846,0.88,0.863,0.957,0.88,0.917,0.958,0.92,0.939
SIR01_sl500_mr15_nv10_10,0.571,0.308,0.4,0.75,0.462,0.571,0.538,0.538,0.538,0.538,0.538,0.538,0.75,0.462,0.571
SIR003_sl250_mr05_nv10_7,0.6,0.391,0.474,0.8,0.435,0.563,0.444,0.522,0.48,0.49,0.522,0.505,0.786,0.478,0.595
SEIR01_sl1000_mr025_nv5_17,0.8,0.364,0.5,0.889,0.727,0.8,0.818,0.818,0.818,0.818,0.818,0.818,0.909,0.909,0.909
SEIR01_sl500_mr025_nv10_17,0.667,0.333,0.444,0.667,0.333,0.444,0.286,0.333,0.308,0.333,0.333,0.333,0.5,0.333,0.4
SIR003_sl1000_mr05_nv10_10,1.0,0.769,0.87,1.0,0.769,0.87,0.846,0.846,0.846,0.846,0.846,0.846,0.917,0.846,0.88
SIR003_sl1000_mr05_nv5_3,1.0,0.375,0.545,0.833,0.625,0.714,0.625,0.625,0.625,0.75,0.75,0.75,0.833,0.625,0.714
SEIR015_sl1000_mr025_nv10_5,0.958,0.479,0.639,1.0,0.917,0.957,0.854,0.854,0.854,0.875,0.729,0.795,0.974,0.771,0.86
SEIR01_sl1000_mr025_nv10_19,0.923,0.61,0.735,0.945,0.881,0.912,0.836,0.864,0.85,0.855,0.797,0.825,0.94,0.797,0.862
SEIR01_sl1000_mr025_nv10_3,0.917,0.673,0.776,0.933,0.857,0.894,0.82,0.837,0.828,0.83,0.796,0.812,0.955,0.857,0.903
SIR003_sl1000_mr025_nv10_15,0.846,0.458,0.595,0.933,0.583,0.718,0.708,0.708,0.708,0.7,0.583,0.636,0.875,0.583,0.7
SIR003_sl1000_mr05_nv20_7,0.778,0.583,0.667,0.8,0.667,0.727,0.769,0.833,0.8,0.7,0.583,0.636,0.818,0.75,0.783
SEIR015_sl1000_mr025_nv20_20,0.643,0.474,0.545,0.846,0.579,0.688,0.684,0.684,0.684,0.706,0.632,0.667,0.824,0.737,0.778
SEIR01_sl1000_mr05_nv10_4,0.778,0.636,0.7,1.0,0.636,0.778,0.667,0.727,0.696,0.667,0.727,0.696,0.8,0.727,0.762
SEIR015_sl1000_mr025_nv10_14,0.818,0.36,0.5,0.85,0.68,0.756,0.655,0.76,0.704,0.69,0.8,0.741,0.905,0.76,0.826
SEIR015_sl1000_mr025_nv20_8,0.672,0.612,0.641,1.0,0.731,0.845,0.605,0.776,0.68,0.778,0.731,0.754,1.0,0.716,0.835
SEIR015_sl1000_mr0125_nv10_5,0.688,0.216,0.328,0.979,0.922,0.949,0.627,0.627,0.627,0.778,0.412,0.538,0.895,0.333,0.486
SEIR015_sl500_mr025_nv10_4,0.423,0.268,0.328,0.952,0.488,0.645,0.396,0.512,0.447,0.415,0.415,0.415,0.941,0.78,0.853
SIR01_sl1000_mr15_nv5_18,1.0,0.444,0.615,0.714,0.556,0.625,0.667,0.667,0.667,1.0,0.667,0.8,0.875,0.778,0.824
SEIR015_sl1000_mr05_nv10_20,0.263,0.122,0.167,1.0,0.561,0.719,0.353,0.439,0.391,0.316,0.293,0.304,1.0,0.268,0.423
SIR003_sl1000_mr05_nv10_20,1.0,0.222,0.364,0.375,0.333,0.353,0.444,0.444,0.444,0.667,0.222,0.333,0.8,0.444,0.571
SEIR01_sl1000_mr025_nv5_4,0.897,0.52,0.658,0.8,0.72,0.758,0.76,0.76,0.76,0.833,0.7,0.761,0.9,0.72,0.8
SIR003_sl1000_mr1_nv10_14,0.952,0.556,0.702,0.818,0.75,0.783,0.75,0.75,0.75,0.806,0.694,0.746,0.897,0.722,0.8
SEIR015_sl1000_mr025_nv5_19,0.556,0.455,0.5,1.0,0.182,0.308,0.389,0.636,0.483,0.5,0.545,0.522,1.0,0.273,0.429
SEIR01_sl1000_mr025_nv5_19,0.976,0.69,0.808,0.909,0.862,0.885,0.931,0.931,0.931,0.946,0.914,0.93,0.98,0.862,0.917
SEIR015_sl500_mr025_nv10_5,1.0,0.571,0.727,1.0,0.786,0.88,0.933,1.0,0.966,0.933,1.0,0.966,0.933,1.0,0.966
SEIR015_sl1000_mr05_nv10_8,0.846,0.611,0.71,1.0,0.861,0.925,0.725,0.806,0.763,0.743,0.722,0.732,1.0,0.833,0.909
SIR003_sl1000_mr1_nv10_19,1.0,0.484,0.653,0.722,0.609,0.661,0.656,0.656,0.656,0.771,0.578,0.661,0.792,0.594,0.679
SIR003_sl1000_mr05_nv20_8,0.875,0.519,0.651,0.739,0.63,0.68,0.63,0.63,0.63,0.708,0.63,0.667,0.739,0.63,0.68
SEIR01_sl500_mr025_nv10_13,0.833,0.5,0.625,1.0,0.7,0.824,0.636,0.7,0.667,0.7,0.7,0.7,1.0,0.8,0.889
SEIR01_sl1000_mr0125_nv10_19,0.952,0.667,0.784,1.0,0.767,0.868,0.833,0.833,0.833,0.893,0.833,0.862,0.964,0.9,0.931
SIR003_sl500_mr05_nv10_20,1.0,0.375,0.545,0.667,0.5,0.571,0.625,0.625,0.625,0.667,0.5,0.571,0.625,0.625,0.625
SIR003_sl1000_mr05_nv10_19,0.833,0.676,0.746,0.967,0.784,0.866,0.763,0.784,0.773,0.743,0.703,0.722,0.97,0.865,0.914
SIR003_sl500_mr05_nv10_13,0.931,0.562,0.701,0.825,0.688,0.75,0.708,0.708,0.708,0.879,0.604,0.716,0.842,0.667,0.744
SIR01_sl1000_mr15_nv20_10,1.0,0.615,0.762,0.8,0.615,0.696,0.769,0.769,0.769,0.769,0.769,0.769,1.0,0.692,0.818
SEIR015_sl1000_mr025_nv5_12,1.0,0.182,0.308,0.778,0.636,0.7,0.636,0.636,0.636,0.429,0.273,0.333,1.0,0.364,0.533
SIR003_sl1000_mr05_nv20_16,0.931,0.628,0.75,0.882,0.698,0.779,0.705,0.721,0.713,0.811,0.698,0.75,0.909,0.698,0.789
SEIR01_sl1000_mr025_nv20_19,0.941,0.906,0.923,0.942,0.925,0.933,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
SIR01_sl250_mr15_nv10_12,0.571,0.421,0.485,0.857,0.632,0.727,0.542,0.684,0.605,0.579,0.579,0.579,0.857,0.632,0.727
SIR01_sl1000_mr15_nv20_1,0.889,0.5,0.64,0.862,0.781,0.82,0.719,0.719,0.719,0.917,0.688,0.786,0.88,0.688,0.772
SEIR015_sl1000_mr025_nv5_10,0.708,0.472,0.567,1.0,0.417,0.588,0.744,0.806,0.773,0.774,0.667,0.716,1.0,0.444,0.615
SEIR01_sl250_mr025_nv10_10,0.688,0.647,0.667,1.0,0.471,0.64,0.737,0.824,0.778,0.737,0.824,0.778,0.846,0.647,0.733
SEIR01_sl1000_mr025_nv20_2,0.933,0.667,0.778,0.927,0.905,0.916,0.884,0.905,0.894,0.905,0.905,0.905,0.927,0.905,0.916
SIR01_sl1000_mr15_nv10_3,0.93,0.678,0.784,0.922,0.797,0.855,0.738,0.763,0.75,0.882,0.763,0.818,0.922,0.797,0.855
SEIR01_sl1000_mr025_nv10_2,0.889,0.727,0.8,0.909,0.909,0.909,0.833,0.909,0.87,0.875,0.955,0.913,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_10,0.7,0.778,0.737,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778,0.8,0.889,0.842
SIR01_sl1000_mr15_nv20_14,0.5,0.4,0.444,0.5,0.4,0.444,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.444
SIR01_sl1000_mr15_nv5_3,0.5,0.111,0.182,0.6,0.333,0.429,0.444,0.444,0.444,0.667,0.444,0.533,0.5,0.444,0.471
SEIR015_sl1000_mr025_nv20_13,0.6,0.667,0.632,0.833,0.556,0.667,0.538,0.778,0.636,0.538,0.778,0.636,0.889,0.889,0.889
SIR003_sl500_mr05_nv10_2,0.958,0.676,0.793,0.926,0.735,0.82,0.794,0.794,0.794,0.812,0.765,0.788,0.926,0.735,0.82
SIR003_sl500_mr05_nv10_19,0.756,0.517,0.614,0.86,0.717,0.782,0.633,0.633,0.633,0.654,0.567,0.607,0.894,0.7,0.785
SIR003_sl1000_mr05_nv5_1,0.938,0.429,0.588,0.733,0.629,0.677,0.667,0.686,0.676,0.774,0.686,0.727,0.852,0.657,0.742
SIR01_sl500_mr15_nv10_16,1.0,0.6,0.75,1.0,0.7,0.824,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr05_nv10_2,0.875,0.875,0.875,0.857,0.75,0.8,0.889,1.0,0.941,0.889,1.0,0.941,0.875,0.875,0.875
SIR01_sl1000_mr3_nv10_11,0.962,0.439,0.602,0.86,0.649,0.74,0.684,0.684,0.684,0.947,0.632,0.758,0.95,0.667,0.784
SIR01_sl1000_mr15_nv5_4,1.0,0.28,0.438,0.867,0.52,0.65,0.32,0.32,0.32,0.647,0.44,0.524,0.933,0.56,0.7
SIR003_sl1000_mr05_nv20_14,1.0,0.9,0.947,1.0,0.9,0.947,1.0,1.0,1.0,1.0,0.9,0.947,1.0,0.9,0.947
SIR01_sl250_mr15_nv10_4,0.545,0.5,0.522,0.667,0.333,0.444,0.538,0.583,0.56,0.5,0.5,0.5,0.667,0.5,0.571
SEIR015_sl250_mr025_nv10_8,0.8,0.444,0.571,1.0,0.667,0.8,0.724,0.778,0.75,0.76,0.704,0.731,1.0,0.741,0.851
SIR003_sl1000_mr025_nv10_14,1.0,0.467,0.636,0.909,0.667,0.769,0.867,0.867,0.867,0.923,0.8,0.857,0.923,0.8,0.857
SEIR015_sl500_mr025_nv10_16,0.556,0.417,0.476,1.0,0.417,0.588,0.625,0.833,0.714,0.714,0.833,0.769,1.0,0.75,0.857
SEIR01_sl1000_mr025_nv5_12,0.75,0.316,0.444,0.846,0.579,0.688,0.789,0.789,0.789,0.75,0.632,0.686,0.857,0.632,0.727
SIR01_sl1000_mr3_nv10_7,1.0,0.435,0.606,0.722,0.565,0.634,0.652,0.652,0.652,0.727,0.696,0.711,0.923,0.522,0.667
SEIR015_sl1000_mr025_nv5_1,1.0,0.071,0.133,1.0,0.429,0.6,0.571,0.571,0.571,0.875,0.5,0.636,1.0,0.571,0.727
SEIR015_sl500_mr025_nv10_18,0.75,0.231,0.353,1.0,0.885,0.939,0.63,0.654,0.642,0.706,0.462,0.558,0.947,0.692,0.8
SEIR01_sl500_mr025_nv10_12,0.927,0.745,0.826,0.936,0.863,0.898,0.923,0.941,0.932,0.935,0.843,0.887,0.939,0.902,0.92
SEIR015_sl500_mr025_nv10_20,0.791,0.531,0.636,1.0,0.766,0.867,0.718,0.797,0.756,0.796,0.672,0.729,1.0,0.703,0.826
SEIR015_sl500_mr025_nv10_11,0.25,0.125,0.167,0,0,0,0.455,0.625,0.526,0.4,0.5,0.444,1.0,0.5,0.667
SEIR01_sl250_mr025_nv10_11,0.667,0.5,0.571,0.857,0.375,0.522,0.65,0.812,0.722,0.765,0.812,0.788,0.846,0.688,0.759
SIR01_sl1000_mr15_nv5_9,0.95,0.404,0.567,0.8,0.596,0.683,0.617,0.617,0.617,0.806,0.532,0.641,0.867,0.553,0.675
SIR003_sl250_mr05_nv10_5,0.737,0.636,0.683,0.923,0.545,0.686,0.773,0.773,0.773,0.696,0.727,0.711,0.875,0.636,0.737
SIR01_sl500_mr15_nv10_6,0.96,0.828,0.889,1.0,0.655,0.792,0.903,0.966,0.933,0.933,0.966,0.949,1.0,0.759,0.863
SEIR015_sl500_mr025_nv10_17,0.769,0.714,0.741,1.0,0.5,0.667,0.632,0.857,0.727,0.667,0.857,0.75,1.0,0.643,0.783
SEIR015_sl1000_mr025_nv5_9,0.565,0.325,0.413,0.947,0.45,0.61,0.568,0.625,0.595,0.7,0.525,0.6,0.947,0.45,0.61
SEIR01_sl1000_mr025_nv20_12,0.933,0.778,0.848,1.0,0.833,0.909,0.889,0.889,0.889,0.941,0.889,0.914,1.0,0.889,0.941
SIR003_sl1000_mr1_nv10_5,1.0,0.556,0.714,1.0,0.444,0.615,0.556,0.556,0.556,1.0,0.556,0.714,1.0,0.444,0.615
SEIR01_sl1000_mr05_nv10_11,0.815,0.688,0.746,0.926,0.781,0.847,0.714,0.781,0.746,0.758,0.781,0.769,0.933,0.875,0.903
